author,description
Багаутдінов Рафаель Махмут.,"Батирі. З серії «Сабантуй». 1976. Папір, кольорова ліногравюра. 33х38"
Багаутдінов Рафаель Махмут.,"Спринт. З серії «Сабантуй». 1976. Папір, кольорова ліногравюра. 33х48"
Базилевич Анатолій Дмитр.,"Зустріч з сестрою Яриною. 1964. Папір, м’який лак. 34,5х24,6"
Базилевич Анатолій Дмитров.,"Сон (Григорій Сковородв). 1972. Папір, літографія. 35х24,5; 42,7х34"
Баклан Григорій Михайл.,"Земля в цвіту. 1964. Папір, кольорова ліногравюра. 30,5х67,5 (у світлі)"
Бакст Лев Самойлович,"Портрет І. Левітана. Папір, літографія. 34,5х25"
Бакст Лев Самойлович,"Дівчинка. Фрагмент плаката. Кін. ХІХ-поч. ХХ ст. Папір, хромолітографія. 33,4х24,5"
Балаш Віктор Григорович,"«Оргія». Л. Українка. Ескіз декорації. 1972. Папір, гуаш, пастель. 65х82"
Баликов Юрій Євдокимов.,"Копни. 1972. Папір, акварель. 49,3х69,5"
Баликов Юрій Євдокимов.,"Дощ в Карпатах. 1972. Папір, акварель. 49,5х64"
Баликов Юрій Євдокимов.,"Після дощу. 1974. Папір, акварель. 48х67,5"
Баликов Юрій Євдокимов.,"Човни. 1979. Папір, пастель. 46,5х59,5"
Бальзак Ларго Михайлов.,"Серія «Львів вечірній». 1988. Лист І. Папір, меццо-тинто, суха голка. 32х28, 60,1х46,5"
Бальзак Ларго Михайлов.,"Серія «Львів вечірній». 1988. Лист ІІ. Папір, меццо-тинто, суха голка. 32х28, 61,5х53,6"
Бальзак Ларго Михайлов.,"Серія «Львів вечірній». 1988. Лист ІІІ. Папір, меццо-тинто, суха голка. 32х28, 61,7х46,5"
Бальзак Ларго Михайлов.,"Серія «Львів вечірній». 1988. Лист ІV. Папір, меццо-тинто, суха голка. 32х28, 61,5х53,9"
Бальзак Ларго Михайлов.,"Серія «Львів вечірній». 1988. Лист V. Папір, меццо-тинто, суха голка. 32х28, 62,5х53,7"
Бальзак Ларго Михайлов.,"Серія «Львів вечірній». 1988. Лист VI. Папір, меццо-тинто, суха голка. 32х28, 61,5х53,7"
Бальзак Ларго Михайлов.,"Пушкіногір’я. Лист IV. 1989. Папір, офорт, суха голка. 10х8 (в світлі)"
Бальзак Ларго Михайлов.,"Пушкіногір’я. Лист ІІІ. 1989. Папір, офорт, суха голка. 10х12,8 (в світлі)"
Бальзак Ларго Михайлов.,"Пушкіногір’я. Лист ІІ. 1989. Папір, офорт, суха голка. 10х8 (в світлі)"
Бальзак Ларго Михайлов.,"Здрастуй, Мюнхен! 1991. Папір, офорт, суха голка. 11х9 (в світлі)"
Барб’є Поль Г.,"Жіночий портрет. 1835. Папір, італійський олівець. 36,1х44"
Барвенко Віктор Петрович,"Надійка. 1963. Папір, темпера. 81х60"
Барвенко Віктор Петрович,"Анненкова Р.Я. ХХ ст. Папір, темпера. 81х60"
Барисайте (Зеленкевичене),"В порту. 1960. Папір, ліногравюра. 23х40"
Бархін Сергій Михайлов.,"Ескіз декорації до опери «Кремлівські куранти». Лист 1. 1985. Тонований папір, змішана техніка, вугілля, пастель. 47х63,5"
Басов Яків Олександр.,"В рибацькому колгоспі. 1974. Папір, акварель. 60х65"
Басов Яків Олександр.,"Листопад. 1974. Папір, акварель. 41,7х57"
Басов Яків Олександр.,"Блакитний березень. 1987. Папір, акварель. 59х64"
Басов Яків Олександр.,"Сейнери. 1974. Папір, акварель. 58,5х69"
Басов Яків Олександр.,"Зима в селі. 1980. Папір, акварель. 60х57"
Басов Яків Олександр.,"Сейнер біля берега. 1988. Папір, акварель. 60х65"
Басов Яків Олександр.,"Яхта. Місто біля моря. Прибій на набережній. 1987. Папір, акварель. 60х65"
Басов Яків Олександр.,"Київ. Осінній сад. 1982. Папір, акварель. 50х54"
